Cleaned_Tweets,Retweets,Likes,Date
thanks,209,7021,10/27/2022 16:17
Absolutely,755,26737,10/27/2022 13:19
Dear Twitter Advertisers,55927,356623,10/27/2022 13:08
Meeting a lot of cool people at Twitter today!,9366,195546,10/26/2022 21:39
Entering Twitter HQ – let that sink in!,145520,1043592,10/26/2022 18:45
Definitely closer to citizen journalism – local news orgs are under-appreciated &amp; should get way more prominence on Twitter,699,10189,10/26/2022 17:05
Nobody bats 1000 ,126,2920,10/26/2022 15:42
A beautiful thing about Twitter is how it empowers citizen journalism – people are able to disseminate news without an establishment bias,37951,294406,10/26/2022 15:27
I’m a big fan of citizen journalism!,488,5529,10/26/2022 15:22
“According to unnamed sources close to the matter who wish to remain anonymous” ,4603,62693,10/26/2022 14:50
"“The New York Times has emerged as a new, chaotic actor in global politics. The paper’s interventions in some of the world’s most combustible conflicts have sometimes been a boon, but their messaging has also caused problems.”",10733,100922,10/26/2022 14:48
Yes!,477,14209,10/26/2022 7:27
30% is a lot,149,2863,10/26/2022 6:32
Concerning,719,17443,10/26/2022 6:28
Works on any moving land object,3565,41798,10/25/2022 23:26
Fasting rocks,284,4981,10/25/2022 13:54
Had to do a double-take. This is the first non-fake Vitalik tweet I’ve seen in a while.,573,11512,10/25/2022 13:24
One man’s hedge is another man’s shrub,241,4712,10/25/2022 8:30
Yup,347,9328,10/25/2022 8:19
TRUE,238,4711,10/25/2022 8:11
Too much respect for authority inhibits innovation,4121,40332,10/25/2022 8:01
What lesson took you the longest to unlearn?,11678,148115,10/25/2022 4:33
διαλεκτική,6978,97401,10/25/2022 1:25
"Twitter should be as broadly inclusive as possible, serving as a fair forum for lively, even if occasionally rancorous, debate between widely divergent beliefs.",3374,25719,10/25/2022 1:15
Absolutely necessary,138,2231,10/24/2022 22:45
!,99,2261,10/24/2022 21:39
Important,494,9551,10/24/2022 20:49
Yup,75,1556,10/24/2022 20:46
Exactly!,116,2467,10/24/2022 20:41
"Yeah, doesn’t make sense",1289,26093,10/24/2022 18:45
Good thread,133,2639,10/24/2022 13:49
I only play crazy 9’s,91,1902,10/24/2022 13:42
"That’s the plan, unless it is damaged in testing. What really matters is that ship &amp; booster production line is spooling up. Also, each new ship &amp; booster has incremental design improvements.",235,3806,10/24/2022 13:39
"Yeah, I’m back to spare bedroom /couch surfing at friend’s houses in Silicon Valley, which I did for about a decade.Frankly, I like it this way, as I get to see my friends, who I love, more often.",281,5838,10/24/2022 13:35
"I did as a child, but found it to be too simple to be useful in real life: a mere 8 by 8 grid, no fog of war, no technology tree, no random map or spawn position, only 2 players, both sides exact same pieces, etc.Polytopia addresses these limitations.",272,3692,10/24/2022 13:28
"And I don’t even own a house, let alone a “mansion”, you douche",635,8781,10/24/2022 13:19
"While it’s true that Kasparov is almost as good at playing chess as my iPhone, he is otherwise an idiot",1882,15587,10/24/2022 13:13
Yes,75,1646,10/24/2022 12:58
How exciting to be alive at the same time as the largest animal ever! Wild that Blue whales are bigger than the biggest dinosaur.,2112,47168,10/24/2022 12:48
You’re most welcome,216,5152,10/24/2022 5:39
"Before DoD even came back with an answer, I told  that SpaceX would not turn off Starlink even if DoD refused to provide funding",1094,11673,10/24/2022 2:37
Absolutely!,513,10287,10/23/2022 22:36
Interesting,603,10825,10/23/2022 16:58
Great game,1277,35925,10/23/2022 13:31
"Maybe it was a social media algorithm, not even people",3989,53403,10/23/2022 13:29
Think about who might have decided “The Current Thing” before accepting it,12460,113306,10/23/2022 13:26
Who decides “The Current Thing?”Real question. I don’t know.,9180,116769,10/23/2022 13:21
Exactly. WaPo are such hypocrites.,1392,17195,10/23/2022 13:10
Neuralink show &amp; tell now on Nov 30,4864,61933,10/23/2022 12:19
Had to be done,532,11588,10/23/2022 12:11
We’ve come a long way,563,10958,10/23/2022 1:41
i know|nothing|is forever,22736,211899,10/23/2022 0:29
Good point ,1895,36854,10/22/2022 20:24
This needs to change. Manufacturing is awesome!,1325,19386,10/22/2022 19:54
It will happen,1106,23152,10/22/2022 17:24
Hear! Hear!,712,11610,10/22/2022 16:00
